code,content,tag,reply
#cfs13921 ,"Chào mọi người, mình sinh năm 99, mới ra trường mà vẫn chưa có mảnh tình vắt vai nên mạo muội lên đây tìm người yêu. Sơ qua thì mình học IT, việc làm ổn định, thu nhập 4 số tiểu học. Mình khá tự ti về việc không đạt 1m7 và hơi béo (6x kg) nên mình mong bạn nữ thấp hơn mình là được. Các bạn thả tim mình sẽ inbox. ",,
#cfs13920 ,"""Đông đã về và xuân sắp tới. Nay mình mạo muội lên đây để tìm cho mình 1 cô bạn gái xinh xắn dễ thương để cùng nhau đón tết này.
GT về bản thân 1 tý thì mình là nam đang là sv BK năm 3 ở 1 khoa nào đó =)) Về ngoại hình thi tuy không có gym nhưng nhìn chung cũng tạm ổn =)) hehe. Sở thích thì thể thao, đi chơi ăn uống các thứ. Mình không dám yêu cầu quá nhiều về bạn nữ, chỉ mong đơn giản bạn nữ là người hiểu chuyện biết thông cảm chia sẻ với mình, vậy là được rồi. Mong mình sẽ tìm được nhau. Bạn nào cũng có ý định như mình thì hãy cho mình xin ít info nhe. mình sẽ liên lạc với bạn sớm nhất. 
Peaceee!!!
https://docs.google.com/.../1FAIpQLSflIqrzuoBSR.../viewform""",,
#Cfs13919,"Em lại là thằng nhóc có crush theo người khác rồi đây 🙁chuyện là em cảm giác không xua được cái cảm giác buồn mỗi ngày. Nếu hồi trước em và em đó lúc nào cũng vui vẻ với nhau thì giờ không còn vậy nữa. Em biết tại người ta có người yêu rồi nên mọi thứ vậy thôi nhưng em vẫn cứ thấy buồn. Thế là em tìm cách để xua đi nổi buồn là em đi làm bài tập, làm hết bài tập xong em vẫn buồn, thế là em chơi game, càng chơi càng sầu vì không những buồn chuyện tình cảm còn buồn vì những thằng đồng đội ngu nữa. bạn bè bảo em lo học đi không ảnh hưởng chuyện học đấy nhưng em vẫn học tốt 🙁vậy em phải làm sao giờ",,
#Cfs13918_1,"Em chào mụi người. Hiện tại em đang là sinh viên năm 2 trường đại học Bách khoa ạ. Em vừa kết thúc mối tình thứ ba của mình được gần 1 tháng. Hôm nay em muốn lên đây để tìm người sẽ cùng em đi tiếp chặng đường tiếp theo.
Em cao 1m56, ngoại hình cân đối, bạn bè hay nói em dễ thương chứ em không biết mình có dễ thương không. Em biết nấu ăn và em hay thích nấu ăn cho người em thương. Em không quản lý tài khoản mạng xã hội của anh hay đời sống riêng tư của anh. Nếu mình có đến với nhau, nếu hết thương anh chỉ cần nói em sẽ tự biết làm gì. Em không cần bạn trai bao nuôi vì  má em dặn không được nợ gì ai.
Em hy vọng người tiếp theo đi cùng em là một chàng trai Bách khoa vì em chưa có duyên với một chàng trai Bách khoa xịn xò. Năm nay em 19 tuổi, em không lái máy bay, thật tuyệt nếu anh lớn tuổi hơn em và thật tuyệt nếu anh cao hơn 1m6 anh nhé. Đó sẽ là một điểm cộng to bự nếu anh có một chiếc bụng bia (em thích người yêu như big hero 6 nè) và một điểm cộng lớn khác nếu anh chưa từng yêu ai. 
Vì em tương đối khó tính giai đoạn đầu và người yêu em không thiếu nên nếu anh nói chuyện được với em 3 ngày, em nghĩ anh có thể có được mọi cô gái nè.
Nếu quý dị cảm thấy chúng mình có duyên thì hãy gửi thông tin liên lạc qua form này cho em nha:  https://docs.google.com/.../1FAIpQLSdh5o744uqdxj.../viewform",#TìmNgườiYêu,
#Cfs13918_2,"Xin chàooo
Mọi người có thấy trời SG hôm nay lạnh không :)))
Những ngày nắng mình thường lòng vòng đây đó, ghé nơi nào một mình cũng thấy hay hay, nhưng thời tiết se lạnh thế này cảm giác khác lắm í :)))
Vào vấn đề chính, mình là nữ, đã 23 nhưng khá là linh hoạt (ý là kiểu đôi lúc vẫn ngáo ngơ trẻ trâu một tí, còn lại những lúc nghiêm túc thì lại vượt qua tuổi tác của mình luôn :>) Mình quê ở miền Trung, về việc trắng trẻo, hay chiều cao thì không dám bàn đến nhưng đổi lại mình có lẽ khá ưa nhìn (nhiều người nhận xét thế 😄) và khá là tâm lý...
Bản thân mình biết nấu ăn, có nhiều sở thích nho nhỏ (mà mình nghĩ đặc biệt là xem đá bóng, vì nó không giống với đại đa số chị em :)) ) Mặc dù đôi lúc trò chuyện hơi nhạt nhẽo nhưng mình luôn sẵn sàng lắng nghe. 
Mình thấy cực kì bị thu hút với những bạn nam biết chăm lo cho bản thân, tình cảm và luôn luôn học hỏi thêm nhiều thứ (vì mình cũng là một người yêu bản thân và ưa học hỏi như vậy). Tuổi tác với mình không là vấn đề, dù lớn tuổi hay nhỏ tuổi hơn, miễn là chúng ta hợp nhau mọi thứ đều có thể hết. Mong rằng bạn nam sẽ cao hơn 1m7 (:3 chỉ là vì mình cảm thấy được ngắm góc mặt của bạn nam từ dưới lên khi đi chung với nhau nó sẽ tuyệt vời lắm) và hài hước một tí để cứu vớt những phút giây nhạt nhẽo của mình. :)))
Vì đã đi làm, công việc khá thoải mái nhưng đôi lúc sẽ bận (rối mù mà không báo trước) nên mình mong rằng bạn nam cũng tâm lí một xíu và cho mình một nơi bình yên nho nhỏ để chia sẻ sau một ngày làm việc (dĩ nhiên mình cũng sẽ làm thế với bạn) :))
Nếu bạn vẫn đang nghiêm túc tìm một ai đó để tìm hiểu, nghiêm túc bắt đầu việc làm quen một ai đó xa lạ (như mình :>) thì mình mong chờ một cmt để nhận diện sự nghiêm túc của """"bạn"""", hoặc ngại ngùng, một cú """"thả tim"""" cũng sẽ giúp mình nhận diện bạn đó :)))
Vì một mùa đông mà hai trái tim cô đơn sẽ tìm được và sưởi ấm nhau. :)))",#TìmNgườiYêu,
#Cfs13917,"...2 năm sau
Mọi kí ức dường như đã chìm vào quên lãng. Click vào """"mở chặn"""", tôi cảm thấy nhẹ lòng đi nhiều. Hai năm rồi, mọi thứ đã khác. Tôi của ngày xưa đã chết sao?
""""Cuối cùng em đã không còn chặn anh nữa."""" Thế quái nào tôi vừa mở block thì ngay ngày sau người ta đã nhắn tin cho tôi? Facebook giờ có cả tính năng thông báo cho người bị chặn rằng cái đứa chặn mình đã mở lại rồi sao? Hay người ta thỉnh thoảng vẫn nhắn đại vài câu vu vơ cá cược sự may rủi rằng """"đã nhận"""" hay """"người này hiện không có trên facebook""""? Ngộ thật.
 """"Em khỏe không? Cuộc sống thế nào rồi?"""" giờ người ta lại diễn Như chưa hề có cuộc chia ly à? May không mở miệng trả lời chứ tôi cũng không biết nói sao. Đã quá lâu rồi tôi không còn nói chuyện tự nhiên với người ta được nữa. Chẳng lẽ giờ ghi"""" Em vẫn sống sờ sờ khỏe mạnh đây anh à. Không có anh em sống còn tốt hơn"""". Thế thì kiểu mình ít kỷ và còn cay cú vụ sừng hươu kia quá. Lớn rồi, trưởng thành lên nào!
Vài câu tin nhắn cũng không có gì đáng lưu tâm. Nếu như, người ta không hẹn gặp tôi. 
Một người mình từng thương rất nhiều. Một người từng làm mình đau không kém. Một người đã mất rất lâu mới có thể nguôi ngoai. Giờ quay về đây gặp tôi thêm lần nữa. Liệu có nên gặp hay không?
""""Gặp đi. Mày không tò mò người ta giờ như thế nào sao?""""  """"Gặp làm gì, kiểu người tuyệt tình đã bỏ rơi mày như vậy. Không hận đã là may rồi. Nhìn thêm chướng mắt."""" Tâm lý tôi đấu tranh dữ dội. Thật ra gặp hay không cũng không phải vấn đề. Tôi chỉ sợ một điều tôi vẫn còn thương người ta thì sao?
Câu hỏi đó chỉ có gặp mới biết được kết quả. """"Tối nay sân ktx 8 giờ.""""
Gần tới giờ hẹn tôi lại càng hồi hộp hơn. Hay thôi mình rút lui nhỉ? Tìm đại lí do nào đó để từ chối đi. Nhưng cứ thế thì mãi mãi không tìm được đáp án cho 2 năm dài này rồi...
""""Anh thấy em rồi.""""
Sao tim không đập thình thịch nhỉ? Nên bắt mạch để xem nó có đập đều cho chắc cú không ta? Mọi hồi hộp lo lắng cũng biến mất như chưa hề tồn tại. Tôi chợt nhận ra. Tôi đã không còn thương người ấy nữa rồi!
""""Em còn nhớ câu nói cuối cùng em nói với anh trước khi anh về quê không?"""" Sao tôi quên được. Tôi giờ nghĩ lại còn thấy hơi hơi hối hận vì câu đó đây này.
""""Câu nào sao em không nhớ vậy ta?""""
""""Sau này em nhất định tìm lại anh!"""" anh nhắc lại.
Muốn độn thổ quá. Sao hồi đó tôi ngu ngơ vậy trời. Tôi mà biết người ta như vậy còn lâu tôi mới nói thế. Cách tốt nhất bây giờ là giả bộ quên hết đi.  Quên nốt mấy câu sến súa đã từng. Quên thật lẹ nào...
""""Anh sắp đi du học rồi.""""
Mei.",#TâmSự,
#cfs11253_1,"Cho em hỏi các anh chị khóa trên về 3 ngành kỹ thuật điện điện tử, kỹ thuật điện và kỹ thuật cơ điện tử CLC CLTT thì nó sẽ ra sao 
nó có tốt hơn bth không hay chỉ tốn thêm tiền thôi
Tại em nghe một số người ở quê em bảo học cũng như bth nên muốn xin tí review từ các anh chị 
em mới thi xong nên em cũng hơi lo :v 
cám ơn anh chị cho ý kiến",#hỏiđáp,
#cfs11253_2,"Em chào mấy anh chị. Em 2k1 vừa mới thi đại học xong. Em thật sự rất thích trường mình và mơ ước trở thành sinh viên Bách Khoa. E nộp vào nhóm ngành kỹ thuật hóa học. Nếu đậu sang năm 2 sẽ gắng vào hóa dược. Có điều em có được đọc 1 bài viết rằng khi xin việc ở các công ty thì thường kỹ sư hóa dược đa số sẽ bị từ chối. Họ nói cần tuyển dụng trình độ cao đẳng xuống là đủ, hoặc là dược sĩ để làm công việc kiểm duyệt. Em thấy hơi hoang mang nên em muốn hỏi mấy anh chị mấy câu hỏi
1 là Có nhiều anh chị được nhận vào các công ty khi chưa ra trường chưa ạ? 
2 là câu chuyện ở trên có đúng phần nào không ạ?
3 là học hóa dược ở BK có được đi thực tế nhiều không ạ?
Mong anh chị trả lời thắc mắc giúp em. Em cảm ơn ❤",#hỏiđáp,
#Cfs13915_1,"Dạo này mình thấy khá nhiều drama về chuyện thi cử. Với một người có chuyên môn và lâu năm trong lĩnh vực drama thì mình không chấp nhận chuyện này. Drama gì mà phèn và không chuyên nghiệp dữ vậy, ít nhất thì phải bẳng một nửa drama ""we are here for competition, not for holiday"" chứ. Việc gian lận hay không gian lận đó là chủ ý của mỗi người. Nếu bạn cảm thấy người khác họ gian lận được điểm cao, thì tại sao bạn không lấy đó làm động lực để phấn đấu. Mình phải điểm cao hơn đứa gian lận. Bây giờ điểm của họ cũng đã như vậy rồi, bạn không phục thì cũng phải chịu thôi. Mượn lời của Madison Anderson: "" Vũ trụ luôn lắng nghe những người không bỏ cuộc"". Thế nên bạn hãy tập trung cố gắng học cho bản thân mình, còn bản thân người gian lận họ biết họ phải làm gì. Ka mà (karma) nó cũng đến thôi. Làm bữa bữa sau bớt tạo mấy cái drama phèn dùm cái, nhất là mấy cái vụ cap màn hình. Chuyện thi cử cũng đã qua, việc của người Việt Nam chúng ta bây giờ là ủng hộ và cổ vũ cho các đại diện Việt Nam trên 3 đấu trường nhan sắc quốc tế bởi họ đang nổ lực để mang vinh quang về cho Việt Nam.",#BócPhốt,
#Cfs13915_2,"Các bạn phát hiện ai gian lận thì mail bằng chứng cho gv, ai muớn khóc trên group chi để những người tự làm bị vạ lây đề khó đây 🙁",#BócPhốt,
